,symbol,metric,value
0,MMM,Previous Close,170.26
1,MMM,Open,169.90
2,MMM,Bid,170.55 x 1000
3,MMM,Ask,174.00 x 1000
4,MMM,Day's Range,169.18 - 172.91
5,MMM,52 Week Range,163.38 - 208.95
6,MMM,Volume,"2,718,585"
7,MMM,Avg. Volume,"2,661,261"
8,ABT,Previous Close,128.38
9,ABT,Open,128.88
10,ABT,Bid,128.21 x 1800
11,ABT,Ask,130.68 x 900
12,ABT,Day's Range,128.03 - 130.46
13,ABT,52 Week Range,105.32 - 131.60
14,ABT,Volume,"4,861,106"
15,ABT,Avg. Volume,"5,159,185"
16,ABBV,Previous Close,116.87
17,ABBV,Open,117.74
18,ABBV,Bid,118.77 x 900
19,ABBV,Ask,119.00 x 900
20,ABBV,Day's Range,117.00 - 119.00
21,ABBV,52 Week Range,101.55 - 121.53
22,ABBV,Volume,"6,094,548"
23,ABBV,Avg. Volume,"6,441,527"
24,ABMD,Previous Close,355.57
25,ABMD,Open,357.32
26,ABMD,Bid,348.24 x 1000
27,ABMD,Ask,425.00 x 900
28,ABMD,Day's Range,351.21 - 362.30
29,ABMD,52 Week Range,254.41 - 387.40
30,ABMD,Volume,"234,596"
31,ABMD,Avg. Volume,"206,716"
32,ACN,Previous Close,365.30
33,ACN,Open,369.41
34,ACN,Bid,356.39 x 800
35,ACN,Ask,371.41 x 4000
36,ACN,Day's Range,357.34 - 370.76
37,ACN,52 Week Range,241.73 - 374.92
38,ACN,Volume,"2,199,414"
39,ACN,Avg. Volume,"2,069,309"
40,ATVI,Previous Close,57.29
41,ATVI,Open,56.98
42,ATVI,Bid,57.60 x 800
43,ATVI,Ask,57.98 x 1300
44,ATVI,Day's Range,56.40 - 57.44
45,ATVI,52 Week Range,56.40 - 104.53
46,ATVI,Volume,"13,235,577"
47,ATVI,Avg. Volume,"11,107,163"
48,ADBE,Previous Close,671.88
49,ADBE,Open,658.10
50,ADBE,Bid,618.00 x 1000
51,ADBE,Ask,618.88 x 800
52,ADBE,Day's Range,604.30 - 662.09
53,ADBE,52 Week Range,420.78 - 699.54
54,ADBE,Volume,"6,673,514"
55,ADBE,Avg. Volume,"2,354,687"
56,AMD,Previous Close,150.68
57,AMD,Open,151.65
58,AMD,Bid,143.51 x 900
59,AMD,Ask,143.62 x 800
60,AMD,Day's Range,140.72 - 152.38
61,AMD,52 Week Range,72.50 - 164.46
62,AMD,Volume,"65,910,028"
63,AMD,Avg. Volume,"51,356,596"
64,AAP,Previous Close,228.76
65,AAP,Open,229.16
66,AAP,Bid,226.89 x 1000
67,AAP,Ask,226.01 x 800
68,AAP,Day's Range,225.32 - 231.68
69,AAP,52 Week Range,143.15 - 243.05
70,AAP,Volume,"543,790"
71,AAP,Avg. Volume,"605,284"
72,AES,Previous Close,24.72
73,AES,Open,24.23
74,AES,Bid,0.00 x 900
75,AES,Ask,0.00 x 800
76,AES,Day's Range,23.75 - 24.26
77,AES,52 Week Range,20.27 - 29.07
78,AES,Volume,"2,474,468"
79,AES,Avg. Volume,"4,992,409"
80,AFL,Previous Close,55.25
81,AFL,Open,54.69
82,AFL,Bid,53.95 x 900
83,AFL,Ask,54.23 x 900
84,AFL,Day's Range,53.85 - 55.17
85,AFL,52 Week Range,42.73 - 57.95
86,AFL,Volume,"3,560,902"
87,AFL,Avg. Volume,"3,036,606"
88,A,Previous Close,150.99
89,A,Open,151.82
90,A,Bid,147.99 x 1200
91,A,Ask,151.87 x 800
92,A,Day's Range,147.72 - 153.00
93,A,52 Week Range,112.47 - 179.57
94,A,Volume,"1,232,792"
95,A,Avg. Volume,"1,494,785"
96,APD,Previous Close,287.43
97,APD,Open,287.88
98,APD,Bid,284.62 x 1000
99,APD,Ask,292.64 x 900
100,APD,Day's Range,285.82 - 290.70
101,APD,52 Week Range,245.75 - 316.39
102,APD,Volume,"1,084,413"
103,APD,Avg. Volume,"1,079,074"
104,AKAM,Previous Close,110.95
105,AKAM,Open,111.50
106,AKAM,Bid,110.27 x 900
107,AKAM,Ask,111.99 x 1200
108,AKAM,Day's Range,109.39 - 111.89
109,AKAM,52 Week Range,92.64 - 124.91
110,AKAM,Volume,"1,026,449"
111,AKAM,Avg. Volume,"1,355,317"
112,ALK,Previous Close,49.52
113,ALK,Open,49.31
114,ALK,Bid,48.39 x 800
115,ALK,Ask,48.39 x 800
116,ALK,Day's Range,47.73 - 49.72
117,ALK,52 Week Range,46.26 - 74.25
118,ALK,Volume,"1,653,786"
119,ALK,Avg. Volume,"1,846,011"
120,ALB,Previous Close,261.39
121,ALB,Open,262.26
122,ALB,Bid,249.81 x 1000
123,ALB,Ask,253.00 x 800
124,ALB,Day's Range,247.12 - 267.81
125,ALB,52 Week Range,133.82 - 291.48
126,ALB,Volume,"1,589,647"
127,ALB,Avg. Volume,"1,216,058"
128,ARE,Previous Close,205.55
129,ARE,Open,205.94
130,ARE,Bid,204.93 x 1200
131,ARE,Ask,205.07 x 1000
132,ARE,Day's Range,203.76 - 205.94
133,ARE,52 Week Range,154.37 - 211.70
134,ARE,Volume,"137,567"
135,ARE,Avg. Volume,"641,489"
136,ALGN,Previous Close,624.93
137,ALGN,Open,629.36
138,ALGN,Bid,617.01 x 1200
139,ALGN,Ask,635.00 x 1100
140,ALGN,Day's Range,605.49 - 632.57
141,ALGN,52 Week Range,494.45 - 737.45
142,ALGN,Volume,"536,132"
143,ALGN,Avg. Volume,"613,147"
144,ALLE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
145,LNT,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
146,ALL,Previous Close,109.68
147,ALL,Open,109.77
148,ALL,Bid,108.43 x 1000
149,ALL,Ask,108.46 x 900
150,ALL,Day's Range,107.73 - 110.81
151,ALL,52 Week Range,102.44 - 140.00
152,ALL,Volume,"2,192,205"
153,ALL,Avg. Volume,"1,923,196"
154,GOOGL,Previous Close,"2,859.32"
155,GOOGL,Open,"2,873.62"
156,GOOGL,Bid,"2,837.05 x 1100"
157,GOOGL,Ask,"2,843.99 x 800"
158,GOOGL,Day's Range,"2,806.02 - 2,888.00"
159,GOOGL,52 Week Range,"1,694.00 - 3,019.33"
160,GOOGL,Volume,"2,057,050"
161,GOOGL,Avg. Volume,"1,547,741"
162,GOOG,Previous Close,"2,875.53"
163,GOOG,Open,"2,889.91"
164,GOOG,Bid,"2,840.05 x 800"
165,GOOG,Ask,"2,854.00 x 1000"
166,GOOG,Day's Range,"2,823.00 - 2,904.26"
167,GOOG,52 Week Range,"1,699.00 - 3,037.00"
168,GOOG,Volume,"1,334,374"
169,GOOG,Avg. Volume,"1,159,554"
